date,code,name,pattern,confidence,price,description,forward_3d,forward_5d,forward_10d,forward_20d,market_phase
2024-12-26,600580,卧龙电驱,B,中,14.66101462,上影线试盘突破(涨幅4.0%，上影线占比44%，量比2.9),-3.318335208098988,-9.111361079865022,-5.06186726659168,19.178852643419585,
2024-02-07,600582,天地科技,D,高,5.40136064,阶段新高(距24月高点-1.7%|距5日线5.0%|量比2.4),2.195945945945943,5.067567567567566,15.709459459459453,14.020270270270263,
2024-04-03,600583,海油工程,F,低,6.45244827,上升三法(首阳6.0%|中间2天缩量|末涨3.6%|量比1.4),-5.822416302765642,-2.911208151382816,0.14556040756914523,-8.879184861717615,
2024-11-11,600588,用友网络,A,中,13.84,上穿年线+大涨(涨幅10.0%，量比1.5),-5.346820809248554,-12.355491329479761,-9.393063583815032,-8.526011560693636,
2024-11-06,600598,北大荒,D,高,15.66499782,阶段新高(距24月高点-0.5%|距5日线4.3%|量比1.5),-2.5215252152521517,-5.289052890528911,-9.532595325953253,-10.455104551045514,
2024-07-08,600601,方正科技,B,中,3.04,上影线试盘突破(涨幅5.6%，上影线占比55%，量比3.7),19.736842105263165,12.828947368421062,1.6447368421052655,-10.526315789473683,
2024-11-11,600602,云赛智联,B,中,17.27989791,上影线试盘突破(涨幅6.5%，上影线占比30%，量比3.2),-3.58174465626806,-14.500288850375497,-15.88677065280184,-14.84690930098208,
2025-08-21,600637,东方明珠,B,中,8.47023468,上影线试盘突破(涨幅4.7%，上影线占比34%，量比4.0),7.3943661971831,7.159624413145527,-1.760563380281699,0.23474178403755097,
2024-02-06,600642,申能股份,D,高,6.74370576,阶段新高(距24月高点-2.5%|距5日线1.5%|量比1.5),1.6150740242261152,1.2113055181695698,-0.1345895020188448,0.13458950201883368,
2024-03-05,600660,福耀玻璃,D,高,42.1231482,阶段新高(距24月高点-0.8%|距5日线5.4%|量比1.6),-3.056579232603518,-3.5768480381530465,-8.194233687405173,-4.530674181660521,
2024-12-30,600673,东阳光,B,中,11.77,上影线试盘突破(涨幅5.2%，上影线占比45%，量比4.8),-7.561597281223442,4.587935429056933,7.136788445199649,-8.6661002548853,
2024-01-02,600674,川投能源,D,高,14.4837882,阶段新高(距24月高点-2.7%|距5日线0.4%|量比2.0),-0.395778364116095,-1.58311345646438,-1.978891820580475,1.055408970976246,
2024-04-30,600690,海尔智家,D,高,27.99131702,阶段新高(距24月高点-2.2%|距5日线5.1%|量比1.9),3.337739590218103,3.734302709847981,4.362194315928614,-2.379378717779246,
2025-02-10,600699,均胜电子,B,中,19.36413656,上影线试盘突破(涨幅5.6%，上影线占比30%，量比3.5),-4.276985743380846,2.3421588594704668,3.1059063136456233,-3.1568228105906204,
2024-11-11,600704,物产中大,D,高,5.212515,阶段新高(距24月高点-2.5%|距5日线2.9%|量比1.8),-3.0909090909090886,1.2727272727272698,-6.181818181818177,-2.1818181818181737,
2024-03-19,600707,彩虹股份,D,高,7.49,阶段新高(距24月高点-2.1%|距5日线3.3%|量比1.8),-2.937249666221642,-5.473965287049398,12.950600801068092,1.869158878504673,
2024-04-01,600737,中粮糖业,D,高,8.71397201,阶段新高(距24月高点-1.6%|距5日线5.2%|量比2.2),6.760847628657918,2.421796165489387,4.540867810292637,3.1281533804238038,
2025-08-25,600739,辽宁成大,D,高,13.31,阶段新高(距24月高点-2.8%|距5日线3.2%|量比2.0),-1.0518407212622094,-2.9301277235161627,-7.137490608565001,-10.518407212622094,
2024-09-30,600754,锦江酒店,A,高,30.07636138,上穿年线+涨停(涨幅10.0%，量比4.0),-11.682093839770191,-7.947654005745298,-5.043089690392599,-13.501436323013094,
2024-11-08,600760,中航沈飞,E,中,60.40855083,大跌反包(前日跌5.9%|阳包阴覆盖100%|涨幅10.0%|量比5.2),-10.217782872113968,-17.389880465040118,-19.10921892909776,-20.63206156869167,
2025-07-24,600763,通策医疗,A,高,47.47,上穿年线+涨停(涨幅10.0%，量比5.2),-1.7484727196123817,-3.0124289024647144,-4.6555719401727425,-2.464714556562042,
2025-06-30,600764,中国海防,D,高,33.86247,阶段新高(距24月高点-2.9%|距5日线5.8%|量比2.2),-3.3823529411764808,-2.4117647058823466,1.8823529411764461,4.794117647058815,
